month,wind,area
jul,2.7,0.36
sep,2.2,0.43
sep,1.8,0.47
aug,4.5,0.55
aug,8.9,0.61
jul,5.4,0.71
aug,5.4,0.77
aug,4,0.9
mar,5.4,0.95
sep,3.6,0.96
aug,6.7,1.07
sep,4.5,1.12
jun,5.4,1.19
jul,2.2,1.36
jul,1.8,1.43
sep,4.9,1.46
sep,2.7,1.46
aug,1.3,1.56
sep,2.2,1.61
aug,3.6,1.63
aug,4,1.64
sep,5.8,1.69
mar,3.1,1.75
aug,4,1.9
mar,8.5,1.94
sep,1.8,1.95
sep,2.2,2.01
mar,4.5,2.14
aug,0.9,2.29
aug,4.5,2.51
mar,9.4,2.53
aug,2.2,2.55
sep,1.8,2.57
aug,4,2.69
aug,5.4,2.74
sep,2.2,3.07
aug,1.8,3.5
aug,4.9,4.53
apr,5.8,4.61
aug,2.7,4.69
sep,2.2,4.88
aug,5.4,5.23
sep,6.7,5.33
oct,4,5.44
feb,2.2,6.38
oct,4.5,6.83
aug,4.9,6.96
sep,3.1,7.04
mar,5.8,7.19
sep,2.2,7.3
mar,0.9,7.4
mar,4,8.24
mar,4,8.31
aug,2.7,8.68
aug,4.5,8.71
sep,4,9.41
aug,4.5,10.01
aug,5.4,10.02
apr,5.8,10.93
sep,0.9,11.06
sep,6.3,11.24
sep,3.6,11.32
sep,2.2,11.53
mar,3.6,12.1
feb,2.2,13.05
oct,2.7,13.7
mar,4,13.99
sep,1.8,14.57
aug,7.2,15.45
sep,2.2,17.2
sep,6.3,19.23
sep,4.9,23.41
oct,3.1,24.23
aug,5.8,26
sep,4.9,26.13
mar,5.8,27.35
mar,4.9,28.66
mar,4.9,28.66
sep,1.3,29.48
sep,6.3,30.32
sep,1.3,31.72
mar,3.1,31.86
aug,3.1,32.07
sep,3.6,35.88
mar,5.8,36.85
jul,3.6,37.02
sep,4.5,37.71
sep,4.9,48.55
oct,4,49.37
aug,4.5,58.3
sep,3.1,64.1
aug,4,71.3
sep,4.5,88.49
sep,3.1,95.18
sep,2.7,103.39
sep,3.1,105.66
sep,3.1,154.88
aug,5.8,196.48
sep,1.8,200.94
sep,2.2,212.88
sep,4,1090.84
aug,4,10.13
aug,7.6,2.87
